Idiom,Sense,Idiomatic_Sent,Literal_Sent,Idiomatic_Label,Literal_Label
ballpark figure,an estimate of what the actual figure will be like,Do you know that the making of this building cost a ballpark figure of 1 million US dollars ?,Do you know that the making of this building cost around 1 million US dollars ?,O O O O O O O O O O B I I O O O O O O,O O O O O O O O O O B O O O O O
ballpark figure,an estimate of what the actual figure will be like,I need a ballpark figure that will be required for this project so that the management can make further business and finance decisions .,I need an estimated cost that will be required for this project so that the management can make further business and finance decisions .,O O B I I O O O O O O O O O O O O O O O O O O O,O O B I I O O O O O O O O O O O O O O O O O O O
from the bottom of my heart,with sincere and deep feeling,I am really happy with the new job and I mean that from the bottom of my heart .,I am really happy with the new job and I mean that with sincere feeling .,O O O O O O O O O O O O B O I I I I O,O O O O O O O O O O O O O B I O
from the bottom of my heart,with sincere and deep feeling,It was really good to have you here and I would like to thank all of you from the bottom of my heart .,It was really good to have you here and I would like to thank all of you genuinely .,O O O O O O O O O O O O O O O O O B I I O I I O,O O O O O O O O O O O O O O O O O B O
from the bottom of my heart,with sincere and deep feeling,"It is not easy for Nicky to take out time and come , but she still came to you and I think you should be thankful to her from the bottom of your heart .","It is not easy for Nicky to take out time and come , but she still came to you and I think you should be thankful to her with utmost devotion .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I O
from the bottom of my heart,with sincere and deep feeling,"I am apologizing to you from the bottom of my heart , I wo n't hurt you again .","I am apologizing to you genuinely , I wo n't hurt you again .",O O O O O B I I I I I O O O O O O O O,O O O O O B O O O O O O O O
from the bottom of my heart,with sincere and deep feeling,"from the bottom of your heart , who you love the most ? They were so thankful of our team '","truthfully , who you love the most ? They were so thankful of our team '",B O I O I I O O O O O O O O O O O O O O O,B O O O O O O O O O O O O O O O
turning point,the time of significant change (mostly positive) in situation,The turning point in the story came when the protagonist lost his sister in a car accident .,The significant change in the story came when the protagonist lost his sister in a car accident .,O B I O O O O O O O O O O O O O O O,O B I O O O O O O O O O O O O O O O
turning point,the time of significant change (mostly positive) in situation,I have seen many turning points in my life and do n't believe that only one of them ever became the reason for my success .,I have seen many changes in my life and do n't believe that only one of them ever became the reason for my success .,O O O O B I O O O O O O O O O O O O O O O O O O O O,O O O O B O O O O O O O O O O O O O O O O O O O O
turning point,the time of significant change (mostly positive) in situation,The turning point in my relationship came when his mother decided to come to and live with us .,The boiling point in my relationship came when his mother decided to come to and live with us .,O B O O O O O O O O O O O O O O O O O,O B O O O O O O O O O O O O O O O O O
turning point,the time of significant change (mostly positive) in situation,My exit from the company became the turning point of my career and then I established my own firm .,My exit from the company became the point after my career went better then I established my own firm .,O O O O O O O B O I O O I O O O O O O O,O O O O O O O O B O O I I O O O O O O O
turning point,the time of significant change (mostly positive) in situation,The birth of my daughter was the turning point of my life .,The birth of my daughter was the significant change in my life .,O O O O O O O B I O O O O,O O O O O O O B I I O O O
turning point,the time of significant change (mostly positive) in situation,The remission at this stage of having cancer was truly the turning point of her life .,The remission at this stage of having cancer was truly her life heading for more positive times .,O O O O O O O O O O B I I O O O O,O O O O O O O O O O O O B I I I I O
turning point,the time of significant change (mostly positive) in situation,I only got hooked to the novel at its turning point .,I only got hooked to the novel at its climax .,O O O O O O O O O B I O,O O O O O O O O O B O
turning point,the time of significant change (mostly positive) in situation,The turning point of her life had to be her marriage .,The most significant moment of her life had to be her marriage .,O B I O O O O O O O O O,O B I I O O O O O O O O O
turning point,the time of significant change (mostly positive) in situation,The turning point in my relationship with my in-laws was the day I answered their taunts . ',The breakthrough in my relationship with my in-laws was the day I answered their taunts . ',O B I O O O O O O O O O O O O O O O,O B O O O O O O O O O O O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort","When it comes to weaker students , the teacher goes the extra mile to help them understand .","When it comes to weaker students , the teacher makes an extra effort to help them understand .",O O O O O O O O O B O O I O O O O O,O O O O O O O O O B I O I O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort",I love staying at that hotel and They go the extra mile to make their guests happy .,I love staying at that hotel and They make special efforts to make their guests happy .,O O O O O O O O B I I I O O O O O O,O O O O O O O O O B I O O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort",She is a very nice person and is always willing to go the extra mile to help others .,She is a very nice person and is always willing to try very hard to help others .,O O O O O O O O O O O B I I I O O O O,O O O O O O O O O O O B O I O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort","If you are willing to go the extra mile at work , you are bound to get noticed and grow professionally .","If you are willing to do more than expected at work , you are bound to get noticed and grow professionally .",O O O O O B I I I O O O O O O O O O O O O O,O O O O O B I I I O O O O O O O O O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort",I was impressed with the way the customer service officer went the extra mile to resolve my problem .,I was impressed with the way the customer service officer made an extra effort to resolve my problem .,O O O O O O O O O O B O O I O O O O O,O O O O O O O O O O B I O I O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort",It is often required to go the extra mile in order to keep a relationship strong and happy .,It is often required to try very hard in order to keep a relationship strong and happy .,O O O O O B I I I O O O O O O O O O O,O O O O O B I I O O O O O O O O O O
go the extra mile,"to try a little harder in order to achieve something, after you have already used a lot of effort",He 's not a very loyal person and I would n't go the extra mile to keep him in our team .,He 's not a very loyal person and I would n't make any extra effort to keep him in our team .,O O O O O O O O O O O B I O I O O O O O O O,O O O O O O O O O O O B I O I O O O O O O O
pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday ; so did he pop the question , then ?","I heard you had a special date with Tom yesterday ; so did he propose marriage , then ?",O O O O O O O O O O O O O O B I I O O O,O O O O O O O O O O O O O O B I O O O
pop the question,propose marriage to someone,"Maggie was deeply in love with Stuart , so when he popped the question , she said yes without any further thought .","Maggie was deeply in love with Stuart , so when he asked her to marry him , she said yes without any further thought .",O O O O O O O O O O O B I I O O O O O O O O O,O O O O O O O O O O O B I I I I O O O O O O O O O
pop the question,propose marriage to someone,Jim and Clara had been dating for about two years when he popped the question to her .,Jim and Clara had been dating for about two years when he asked her to marry him .,O O O O O O O O O O O O B I I O O O,O O O O O O O O O O O O B O O I I O
pop the question,propose marriage to someone,He is taking you to the most lavish restaurant in town and Do you think he is going to pop the question ?,He is taking you to the most lavish restaurant in town and Do you think he is going to propose marriage ?,O O O O O O O O O O O O O O O O O O O B O I O,O O O O O O O O O O O O O O O O O O O B I O
pop the question,propose marriage to someone,"He popped the question to her in the middle of the sea , when they had gone on a cruise together .","He proposed marriage to her in the middle of the sea , when they had gone on a cruise together .",O B O I O O O O O O O O O O O O O O O O O O,O B I O O O O O O O O O O O O O O O O O O
pop the question,propose marriage to someone,"After months of deliberation , he finally mustered the courage to pop the question to her when they went for a movie together .","After months of deliberation , he finally mustered the courage to propose marriage to her when they went for a movie together .",O O O O O O O O O O O B O I O O O O O O O O O O,O O O O O O O O O O O B I O O O O O O O O O O
pop the question,propose marriage to someone,"The setting was perfect , and she waited expectantly for him to pop the question then , but when he did n't , she was really disappointed .","The setting was perfect , and she waited expectantly for him to ask her to marry him , but when he did n't , she was really disappointed .",O O O O O O O O O O O O B I I I O O O O O O O O O O O O,O O O O O O O O O O O O B I O I O O O O O O O O O O O O O
pop the question,propose marriage to someone,"He had given her enough hints for the past few days , so when he finally popped the question , she was ready with her answer . '","He had given her enough hints for the past few days , so when he finally proposed marriage , she was ready with her answer . '",O O O O O O O O O O O O O O O O B O I O O O O O O O O O,O O O O O O O O O O O O O O O O B I O O O O O O O O O
sense of humour,the ability to enjoy and express the funny side of a situation,"I appreciate the fact that you have a sense of humour , but we need to be serious now .","I appreciate the fact that you are humorous , but we need to be serious now .",O O O O O O B I I I I O O O O O O O O O,O O O O O O B I O O O O O O O O O
sense of humour,the ability to enjoy and express the funny side of a situation,His sense of humour often gets in the way of getting the job done .,His lack of seriousness gets in the way of getting the job done .,O B O I I O O O O O O O O O O,O B O I O O O O O O O O O O
sense of humour,the ability to enjoy and express the funny side of a situation,His sense of humour always lightens up my day .,His ability to see the funny side of things always lightens up my day .,O B O I O O O O O O,O B I I I I I O I O O O O O O
sense of humour,the ability to enjoy and express the funny side of a situation,After being moved to the California I realised that people here have a bit less sense of humour .,After being moved to the California I realised that people here are a little bit more serious .,O O O O O O O O O O O B O O I I I I O,O O O O O O O O O O O B O I O I I O
sense of humour,the ability to enjoy and express the funny side of a situation,Your brother is pretty calm guy with an amazing sense of humour .,Your brother is pretty calm guy with a great ability to see funniness .,O O O O O O O B I I I I O,O O O O O O O B I I I I I O
sense of humour,the ability to enjoy and express the funny side of a situation,She is looking for a life partner who has a good sense of humor .,She is looking for a life partner who has an ability to see the funny side of things .,O O O O O O O O O O B I O I O,O O O O O O O O O B I I I I I I O I O
sense of humour,the ability to enjoy and express the funny side of a situation,My husband has really nice sense of humour which I find very amusing . ',My husband has really good ability to be humorous which I find very amusing . ',O O O O B I I I O O O O O O O,O O O O B I I I I O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something","The client has been given a commitment , we can not turn back on the project now even if it means working for extra hours .","The client has been given a commitment , we can not choose not to do the project now even if it means working for extra hours .",O O O O O O O O O O O B I I O O O O O O O O O O O O,O O O O O O O O O O O B O I I O O O O O O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something",I wanted to turn back on my decision of moving to a new city but the fact that you spoke to me gave me the confidence to go ahead .,I wanted to take a U turn on my decision of moving to a new city but the fact that you spoke to me gave me the confidence to go ahead .,O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O,O O O B O I O O O O O O O O O O O O O O O O O O O O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something","He usually turns back on his word , all the decisions taken so far point to this very strongly .","He usually reneges on his word , all the decisions taken so far point to this very strongly .",O O B I O O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something","He occupies the highest office in the country , so we are unable to understand how he can turn back on his word so often .","He occupies the highest office in the country , so we are unable to understand how he can ignore his word so often .",O O O O O O O O O O O O O O O O O O B I I O O O O O,O O O O O O O O O O O O O O O O O O B O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something",He has turned his back on his family ever since that horrible incident happened .,He has ignored his family ever since that horrible incident happened .,O O B O I I O O O O O O O O O,O O B O O O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something",How can anyone turn their backs on their mothers is beyond my understanding ?,How can anyone not maintain contact with their mothers is beyond my understanding ?,O O O B O I I O O O O O O O,O O O B I I I O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something",After getting the promotion she has turned her back on the people who trained her when she first got on the job .,After getting the promotion she has ceased contact with the people who trained her when she first got on the job .,O O O O O O B O I O O O O O O O O O O O O O O,O O O O O O B I I O O O O O O O O O O O O O
turn back on,"to refuse to help, support, or be involved with someone or something","Now that she holds an important position , she seems to have turned his back on her close and childhood friends .","Now that she holds an important position , she seems not to speak to her close and childhood friends .",O O O O O O O O O O O B I I I I O O O O O O,O O O O O O O O O O B O I O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky",Losing that job turned out to be a blessing in disguise for him as it forced him to plunge into business .,Losing that job turned out to be a good outcome from an evil situation for him as it forced him to plunge into business .,O O O O O O O O B I I O O O O O O O O O O O,O O O O O O O O B I I I I I O O O O O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky","When Pete fractured his knee , it was a blessing in disguise , for he got some much needed rest and a break from his hectic work life and refocused on some important things in his life .","When Pete fractured his knee , it was a misfortune that unexpectedly turned into good fortune , for he got some much needed rest and a break from his hectic work life and refocused on some important things in his life .",O O O O O O O O O B O I O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O B I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky","Failing in his exams was a blessing in disguise , for he realized that he was not enjoying his course and decided to try out something else .","Failing in his exams was an apparent misfortune that eventually led to a positive outcome , for he realized that he was not enjoying his course and decided to try out something else .",O O O O O O B O I O O O O O O O O O O O O O O O O O O O,O O O O O B I I O I I O O I I O O O O O O O O O O O O O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky","Missing the train was a blessing in disguise , for we would have been on it when it met with an accident , killing many of it 's passengers .","Missing the train was an apparent misfortune that actually had a positive outcome , for we would have been on it when it met with an accident , killing many of it 's passengers .",O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O,O O O O O B I I I I O I I O O O O O O O O O O O O O O O O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky","When her boyfriend dumped her , it was a blessing in disguise for Susan , for otherwise she would never have met the man who is now her husband .","When her boyfriend dumped her , it was an unexpectedly good outcome for Susan , for otherwise she would never have met the man who is now her husband .",O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O,O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O
a blessing in disguise,"something that seems to be bad or unlucky at first, but which you later realize is good or lucky",Alice 's car breaking down was a blessing in disguise for her .,Alice 's car breaking down actually resulted in a good outcome for her .,O O O O O B O I O I O O O,O O O O O B I O O I I O O O
put a sock in it,to not say anything,The teacher had asked the student to be quiet several times but he was still talking and She got angry and asked him to put a sock in it .,The teacher had asked the student to be quiet several times but he was still talking and She got angry and asked him to keep quiet .,O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O,O O O O O O O O O O O O O O O O O O O O O O O O B O O
put a sock in it,to not say anything,I am going to put a sock in it until things are more finalized .,I am going to not say anything until things are more finalized .,O O O O B I I I I O O O O O O,O O O O B I I O O O O O O
put a sock in it,to not say anything,The rangers put a sock in it when they are looking for wild animals to place the tag on .,The rangers stop talking when they are looking for wild animals to place the tag on .,O O B I I I I O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O
put a sock in it,to not say anything,The lawyer had to put a sock in it when he went overboard with questioning the poor old lady .,The lawyer had to stop talking when he went overboard with questioning the poor old lady .,O O O O B I I I I O O O O O O O O O O O,O O O O B I O O O O O O O O O O O
put a sock in it,to not say anything,My granddaughter has a lot to say at all times and just can not put a sock in it .,My granddaughter has a lot to say at all times and just can not shut up .,O O O O O O O O O O O O O O B O I I I O,O O O O O O O O O O O O O O B I O
put a sock in it,to not say anything,The children immediately put a sock in it when it is time for their father to come home .,The children immediately shut up when it is time for their father to come home .,O O O B I I I O O O O O O O O O O O O,O O O B I O O O O O O O O O O O
put a sock in it,to not say anything,The maid had put a sock in it while doing the dishes because her employer was asleep on the sofa and could have gotten disturbed .,The maid had kept quiet while doing the dishes because her employer was asleep on the sofa and could have gotten disturbed .,O O O B I I I I O O O O O O O O O O O O O O O O O O,O O O B I O O O O O O O O O O O O O O O O O O
over my dead body,under no circumstances,You will go on a date with my sister over my dead body !,"You will go on a date with my sister , in now way !",O O O O O O O O O B O I I O,O O O O O O O O O B I I I O
over my dead body,under no circumstances,"I told John that he could shave his head , over my dead body .","I told John that he could shave his head , under no circumstances .",O O O O O O O O O O B I I I O,O O O O O O O O O O B I I O
over my dead body,under no circumstances,You think that I will give you the keys to my car ? Over my dead body . ',You think that I will give you the keys to my car ? No way I am giving them to you . ',O O O O O O O O O O O O O B O I I O O,O O O O O O O O O O O O O B I O I I I O O O O
over my dead body,under no circumstances,I 'll give you my credit card number over my dead body .,I 'll give you my credit card number under no circumstances .,O O O O O O O O B O I I O,O O O O O O O O B I I O
over my dead body,under no circumstances,He 'll let her take the children over his dead body .,He 'll never let her take the children .,O O O O O O O B I I I O,O O B O O O O O O
silver lining,the situation may seem bad now but can turn for the better,"If it 's the tough time in your life , it comes with many silver linings .","If it 's the tough time in your life , it comes with many hidden wins .",O O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O O B I O
silver lining,the situation may seem bad now but can turn for the better,Always be optimistic and look for the silver-lining .,Always be optimistic and look for the good of a situation .,O O O O O O O B O,O O O O O O O B I I I O
silver lining,the situation may seem bad now but can turn for the better,"I thought I had no money for lunch , but the silver lining was that I found $ 5.00 in the bottom of my bag .","I thought I had no money for lunch , but the good fortune was that I found $ 5.00 in the bottom of my bag .",O O O O O O O O O O O B I O O O O O O O O O O O O O,O O O O O O O O O O O B I O O O O O O O O O O O O O
silver lining,the situation may seem bad now but can turn for the better,"If there 's a silver lining to losing my job , it 's that I 'll now be able to go to school full-time and finish my degree earlier .","If there 's an optimistic outlook to losing my job , it 's that I 'll now be able to go to school full-time and finish my degree earlier .",O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O,O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O
silver lining,the situation may seem bad now but can turn for the better,"If I 'd caught the first train , I would have been held up for 3 hours and the silver lining is that I waited for the second one .","If I 'd caught the first train , I would have been held up for 3 hours and the good fortune is that I waited for the second one . ''",O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O I
silver lining,the situation may seem bad now but can turn for the better,"Right guard Zack Martin , who missed one game to a concussion , will return against the Eagles in perhaps the greatest silver lining","Right guard Zack Martin , who missed one game to a concussion , will return against the Eagles in perhaps the greatest positive spirit",O O O O O O O O O O O O O O O O O O O O O O B I,O O O O O O O O O O O O O O O O O O O O O O B I
silver lining,the situation may seem bad now but can turn for the better,"Perhaps a silver lining from the survey results is the marginal increase in the Cross Timbers and Gulf Prairies regions , although the fragmentation of those landscapes makes hunting opportunities few and far between","Perhaps an optimistic outlook from the survey results is the marginal increase in the Cross Timbers and Gulf Prairies regions , although the fragmentation of those landscapes makes hunting opportunities few and far between",O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
silver lining,the situation may seem bad now but can turn for the better,"The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .","The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of an optimistic outcome .",O O O O O O O O O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O O O O O O B I I O
silver lining,the situation may seem bad now but can turn for the better,The fall in inflation is the silver lining of the prolonged recession .,The fall in inflation is the hopeful aspect of the prolonged recession .,O O O O O O B I O O O O O,O O O O O O B I O O O O O
slap on the wrist,to show disapproval,I have to keep slapping his wrist away from the cake or there will be nothing left for the party .,I have to keep him away from the cake or there will be nothing left for the party .,O O O O B I I O O O O O O O O O O O O O O,O O O O B O O O O O O O O O O O O O O
slap on the wrist,to show disapproval,She slapped my wrist away from the cookie jar and has the whole thing to herself now .,She reprimanded from reaching into the cookie jar and has the whole thing to herself now .,O B I I I O O O O O O O O O O O O O,O B O I I O O O O O O O O O O O O
slap on the wrist,to show disapproval,After he made that obnoxious speech the party high command slapped him on the wrist and the politician was back to his business .,After he made that obnoxious speech the party high command disapproved and the politician was back to his business .,O O O O O O O O O O B I I O I O O O O O O O O O,O O O O O O O O O O B O O O O O O O O O
slap on the wrist,to show disapproval,"As a mother , I often have to slap on the wrist of my children to show them what they ought not to do .","As a mother , I often have to show my children slight disapproval to show them what they ought not to do .",O O O O O O O O B I I I I O O O O O O O O O O O O,O O O O O O O O O O O B I O O O O O O O O O O
slap on the wrist,to show disapproval,It 's very little very punishment for such a huge crime ; I would rather call it a slap on his wrist only .,It 's very little very punishment for such a huge crime ; I would rather call it a weak reprimand .,O O O O O O O O O O O O O O O O O O B I I I I O,O O O O O O O O O O O O O O O O O O B I O
slap on the wrist,to show disapproval,Leaving Bob with warning for beating Ogy with serious injuries is even less than a slap on his wrist . ',Leaving Bob with warning for beating Ogy with serious injuries is even less than showing slight disapproval . ',O O O O O O O O O O O O O O B I I I I O O,O O O O O O O O O O O O O O B I I O O
long run,a time duration comprising of a sequence of events,"To make this project successful in the long run , they will need more partners .","To make this project successful in the end , they will need more partners .",O O O O O O O B I O O O O O O O,O O O O O O O B O O O O O O O
long run,a time duration comprising of a sequence of events,The retailer is not going to reduce the price of the new products but it will pay off in the long run .,The retailer is not going to reduce the price of the new products but it will pay off in the end .,O O O O O O O O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O O O O O O O O B O
long run,a time duration comprising of a sequence of events,"The installation cost of a wind turbine is way too high , but its running cost is low , so you will save in the long run .","The installation cost of a wind turbine is way too high , but its running cost is low , so you will save after a long period of time .",O O O O O O O O O O O O O O O O O O O O O O O B I O I O,O O O O O O O O O O O O O O O O O O O O O O O B O O I O I O
long run,a time duration comprising of a sequence of events,Something good about this is that in the long run the demands will go down,Something good about this is that over a long period of time the demands will go down,O O O O O O B O O I O O O O O,O O O O O O B I O I I I O O O O O
long run,a time duration comprising of a sequence of events,"Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . '","Do n't worry , initially the staff is going to charge you more but over time , you will be paying less . '",O O O O O O O O O O O O O O O O B I O O O O O O O O,O O O O O O O O O O O O O O O B O O O O O O O O
let the cat out of the bag,"to tell someone a secret, especially without intending to",The Mason 's let the cat out of the bag at the end minute and until then nobody at the party knew about the performance by such a famous film star in a regular party .,The Mason 's let a secret out in the open at the end minute and until then nobody at the party knew about the performance by such a famous film star in a regular party .,O O O O O B O I O I O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B O O O I O O O O O O O O O O O O O O O O O O O O O O O O O O
let the cat out of the bag,"to tell someone a secret, especially without intending to","I have let the cat out of the bag , there is no point pretending that this job is working out for me .","I have revealed it , there is no point pretending that this job is working out for me .",O O B I I O I I I O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O
let the cat out of the bag,"to tell someone a secret, especially without intending to",My boss did not let the cat out of the bag about the deal until all the relevant contracts were signed .,My boss did not reveal anything about the deal until all the relevant contracts were signed .,O O O O B O I I I O I O O O O O O O O O O O,O O O O B I O O O O O O O O O O O
let the cat out of the bag,"to tell someone a secret, especially without intending to",She let the cat out of the bag and finally told her parents about her plans of getting married .,She let out her secret and finally told her parents about her plans of getting married .,O O B I O O I I O O O O O O O O O O O O,O O O O B O O O O O O O O O O O O
let the cat out of the bag,"to tell someone a secret, especially without intending to","Nobody in the market was supposed to know about Coca-Cola discount schemes , but the huge advertisement hoardings seems to have let the cat out of the bag .","Nobody in the market was supposed to know about Coca-Cola discount schemes , but the huge advertisement hoardings seems to have revealed it .",O O O O O O O O O O O O O O O O O O O O O B O I I I O I O,O O O O O O O O O O O O O O O O O O O O O B I O
do or die,a situation in which you must take a big risk in order to avoid failure,A do-or-die attempt to halt the invaders .,A life or death attempt to halt the invaders .,O B O O O O O O,O B I I O O O O O O
do or die,a situation in which you must take a big risk in order to avoid failure,Exams are near it 's do or die people .,Exams are near it 's crunch time people .,O O O O O B I I O O,O O O O O B I O O
do or die,a situation in which you must take a big risk in order to avoid failure,"On Wednesday , it 's do or die in the Cricket match against Australia .","On Wednesday , it 's a must win in the Cricket match against Australia .",O O O O O B I I O O O O O O O,O O O O O B I I O O O O O O O
do or die,a situation in which you must take a big risk in order to avoid failure,"When Quentin had to give a presentation to some new clients , his boss warned him that it would be a do or die situation .","When Quentin had to give a presentation to some new clients , his boss warned him that it would be a critical situation .",O O O O O O O O O O O O O O O O O O O O O B I I O O,O O O O O O O O O O O O O O O O O O O O O B O O
do or die,a situation in which you must take a big risk in order to avoid failure,"Well , I guess it is do-or-die so decide if you really want to join our team .","Well , I guess it is critical so decide if you really want to join our team .",O O O O O O B O O O O O O O O O O O,O O O O O O B O O O O O O O O O O O
do or die,a situation in which you must take a big risk in order to avoid failure,I am working hard to defeat my competitor and to win I have to do or die .,I am working hard to defeat my competitor and to win I have to do everything I can .,O O O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O O O B O I O
do or die,a situation in which you must take a big risk in order to avoid failure,"When I was lost in desert , it was a do or die situation . '","When I was lost in desert , it was a life or death situation . '",O O O O O O O O O O B O I O O O,O O O O O O O O O O B O I O O O
call of the wild,"Raw emotions, mostly volatile in nature are represented through this phrase","He has always been so nice , talk about the call of the wild !","He has always been so nice , talk about raw emotions !",O O O O O O O O O B I I I I O,O O O O O O O O O B I O
call of the wild,"Raw emotions, mostly volatile in nature are represented through this phrase",It was a real call of the wild that he roughed up the cop so badly .,It was a real spur of emotions that he roughed up the cop so badly .,O O O O B O O I O O O O O O O O O,O O O O B O I O O O O O O O O O
call of the wild,"Raw emotions, mostly volatile in nature are represented through this phrase",She must have had a call of the wild to treat such a small child in this way .,She must have natural emotions to treat such a small child in this way .,O O O B O I I I I O O O O O O O O O O,O O O B I O O O O O O O O O O
call of the wild,"Raw emotions, mostly volatile in nature are represented through this phrase",He has had many such urges and calls of the wild in the past .,He has had many such urges and natural emotions in the past .,O O O O O O O B I O I O O O O,O O O O O O O B I O O O O
call of the wild,"Raw emotions, mostly volatile in nature are represented through this phrase",It was the call of the wild that he made the decision without thinking .,It was the natural emotions that he made the decision without thinking .,O O O B I O I O O O O O O O O,O O O B I O O O O O O O O
all Greek to me,to say that you cannot understand something,Do n't try to explain the technicalities of how this machine works ; it would be all Greek to me .,Do n't try to explain the technicalities of how this machine works ; it would be meaningless to me .,O O O O O O O O O O O O O O O O B I O O O,O O O O O O O O O O O O O O O O B O O O
